address,symbol,name,decimals,tokenType
0xb3999f658c0391d94a37f7ff328f3fec942bcadc,HFT,Hashflow,18,ERC20
0xb9d7dddca9a4ac480991865efef82e01273f79c3,bLUSD,bLUSD,18,ERC20
0x549020a9cb845220d66d3e9c6d9f9ef61c981102,SIDUS,SIDUS,18,ERC20
0x65ee1361596439664059d1a5ef44014d08c95693,NEURALINK,Neuralink,18,ERC20
0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,Stake DAO Token,18,ERC20
0xdc8af07a7861bedd104b8093ae3e9376fc8596d2,RVF,Rocket Vault,18,ERC20
0xf65b5c5104c4fafd4b709d9d60a185eae063276c,TRU,Truebit,18,ERC20
0xfffffffff15abf397da76f1dcc1a1604f45126db,FSW,FalconSwap Token,18,ERC20
0x619e398858a3110df4d89056a15a40338a01e65f,$GARBAGE,$GARBAGE,18,ERC20
0xc14b4d4ca66f40f352d7a50fd230ef8b2fb3b8d4,TOOLS,BLOCKTOOLS,18,ERC20
0x333a4823466879eef910a04d473505da62142069,NATION,Nation3,18,ERC20
0x83f20f44975d03b1b09e64809b757c47f942beea,sDAI,Savings Dai,18,ERC20
0xa663b02cf0a4b149d2ad41910cb81e23e1c41c32,sFRAX,Staked FRAX,18,ERC20
0xd9a442856c234a39a81a089c06451ebaa4306a72,pufETH,pufETH,18,ERC20
0x4c11249814f11b9346808179cf06e71ac328c1b5,ORAI,Oraichain Token,18,ERC20
0xdd66781d0e9a08d4fbb5ec7bac80b691be27f21d,AXGT,AxonDAO Governance Token,18,ERC20
0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,Wrapped eETH,18,ERC20
0x80f0c1c49891dcfdd40b6e0f960f84e6042bcb6f,DXN,DBXen Token,18,ERC20
0xce722f60f35c37ab295adc4e6ba45bcc7ca89dd6,JPGD,JPEG’d,18,ERC20
0x328a268b191ef593b72498a9e8a481c086eb21be,MZERO,MetaZero,18,ERC20
0xe3dbc4f88eaa632ddf9708732e2832eeaa6688ab,AIUS,Arbius,18,ERC20
0x993864e43caa7f7f12953ad6feb1d1ca635b875f,SDAO,Singularity Dao,18,ERC20
0xbadff0ef41d2a68f22de21eabca8a59aaf495cf0,Kabosu,Kabosu,18,ERC20
0xfca59cd816ab1ead66534d82bc21e7515ce441cf,RARI,Rarible,18,ERC20
0x2be056e595110b30ddd5eaf674bdac54615307d9,APUFF,APUFF,18,ERC20
0x758b4684be769e92eefea93f60dda0181ea303ec,PHONON,Phonon DAO,18,ERC20
0x94e496474f1725f1c1824cb5bdb92d7691a4f03a,BANANA,Banana,18,ERC20
0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,TRAC,Trace Token,18,ERC20
0x79f4a9ed7a6196c67a2d6bce8ec55e9f18802018,yvCurve-oETH-f,Curve oETH Factory yVault,18,ERC20
0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,B-80BAL-20WETH,Balancer 80 BAL 20 WETH,18,ERC20
0xc770eefad204b5180df6a14ee197d99d808ee52d,FOX,FOX,18,ERC20
0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f,RAMP,RAMP DEFI,18,ERC20
0x76e222b07c53d28b89b0bac18602810fc22b49a8,JOE,Joe Coin,18,ERC20
0x508e00d5cef397b02d260d035e5ee80775e4c821,1CAT,Bitcoin Cats,18,ERC20
0x02e7f808990638e9e67e1f00313037ede2362361,KIBSHI,KiboShib,18,ERC20
0x9343e24716659a3551eb10aff9472a2dcad5db2d,STFX,STFX,18,ERC20
0xc4de189abf94c57f396bd4c52ab13b954febefd8,B20,B.20,18,ERC20
0xd8912c10681d8b21fd3742244f44658dba12264e,PLU,Pluton,18,ERC20
0xe3944ab788a60ca266f1eec3c26925b95f6370ad,RAIN,Precipitate.AI,18,ERC20
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,SKL,SKALE,18,ERC20
0xc91a71a1ffa3d8b22ba615ba1b9c01b2bbbf55ad,ZZ,ZigZag,18,ERC20
0x3fa729b4548becbad4eab6ef18413470e6d5324c,MOVE,Holyheld,18,ERC20
0x4d224452801aced8b2f0aebe155379bb5d594381,APE,ApeCoin,18,ERC20
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Aave Token,18,ERC20
0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,Gearbox,18,ERC20
0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,Frax Price Index Share,18,ERC20
0xf17e65822b568b3903685a7c9f496cf7656cc6c2,BICO,Biconomy Token,18,ERC20
0x051d7e5609917bd9b73f04bac0ded8dd46a74301,crvWSBTC,Curve.fi wBTC/sBTC,18,ERC20
0x909e34d3f6124c324ac83dcca84b74398a6fa173,$ZKP,$ZKP Token,18,ERC20
0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,AlphaToken,18,ERC20
0xf4b5470523ccd314c6b9da041076e7d79e0df267,BBANK,BlockBank,18,ERC20
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Uniswap,18,ERC20
0x9dfad1b7102d46b1b197b90095b5c4e9f5845bba,BOTTO,Botto,18,ERC20
0x2541a36be4cd39286ed61a3e6afc2307602489d6,DOGE20,Dogecoin20,18,ERC20
0x037a54aab062628c9bbae1fdb1583c195585fe41,LCX,LCX,18,ERC20
0x66761fa41377003622aee3c7675fc7b5c1c2fac5,CPOOL,Clearpool,18,ERC20
0xacd2c239012d17beb128b0944d49015104113650,KARRAT,KarratCoin,18,ERC20
0xa882606494d86804b5514e07e6bd2d6a6ee6d68a,WPLS,Wrapped Pulse from PulseChain,18,ERC20
0x269616d549d7e8eaa82dfb17028d0b212d11232a,PUNK,CryptoPunks,18,ERC20
0x51cb253744189f11241becb29bedd3f1b5384fdb,DMTR,Dimitra Token,18,ERC20
0x6c28aef8977c9b773996d0e8376d2ee379446f2f,QUICK,Quickswap,18,ERC20
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,RNDR,Render Token,18,ERC20
0x853d955acef822db058eb8505911ed77f175b99e,FRAX,Frax,18,ERC20
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,Hop,18,ERC20
0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,SURE,inSure,18,ERC20
0xed35af169af46a02ee13b9d79eb57d6d68c1749e,OMI,OMI Token,18,ERC20
0x17c50d62e6e8d20d2dc18e9ad79c43263d0720d9,NFAi,Not Financial Advice,18,ERC20
0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,PNK,Pinakion,18,ERC20
